,fr,en
home_btn,     Accueil,     Home
settings_btn,     Paramètres,     Settings
copy,Copier,Copy
home_label,Accueil,Home
my_project_btn,Mes projets,My projects
create_btn,Créer,Create
join_btn,Rejoindre,Join
choose_plat,Sélectionnez l'extension de votre projet :,Select your project extension :
title_project,Titre du projet :,Project title :
add_desc,Ajoutez une description (*facultatif) :,Add a description (*optional) :
choose_f_p,Déposez le dossier contenant le projet :,Upload the project folder :
sharing_key_label,Clé de partage :,Sharing key :
copy_label,Copié !,Copied !
create_project,   Créer   ,   Create   
drag_and_drop,Glisser-déposer,Drag and drop
plat_error,Aucune plateforme sélectionnée,No platform selected
title_error,Titre manquant,Missing title
path_error,Dossier du projet manquant,Missing project file
user_sharing_key_label,Clé de partage :,Sharing key :
exemple_user_key,exemple : AAAAAAAA-AAAA-AAAA-AAAA-AAAAAAAAAAA,example : AAAAAAAA-AAAA-AAAA-AAAA-AAAAAAAAAAA
confirm_key,   Confirmer   ,   Confirm   
title_project_join,Titre du projet :,Project title :
desc_project_join,Description du projet : ,Project description :
plat_project_join,Plateforme du projet,Project platform :
join_project,   Rejoindre   ,   Join   
settings_label,Paramètres,Settings
general_btn,Général,General
daw_label,EXT,EXT
project_title_label,Titre,Ttile
project_desc_label,Description,Description
bpm_label,BPM (*facultatif) :,BPM (*optional) :
logout_btn,Se déconnecter,Logout
save,Dossier de sauvegarde,Backup folder :
save-path,Chemin d'accès :,Access path :
exe_path,Exécutables :,Executables :
fl_path,FL Studio :,FL Studio :
als_path,Ableton Live :,Ableton Live :
logic_pro_path,Logic Pro :,Logic Pro :
cubase_path,Steinberg Cubase :,Steinberg Cubase :
reaper_path,REAPER :,REAPER :
studio_path,Studio One :,Studio One :
confirm_settings,   Confirmer   ,   Confirm   
WEAK_PASSWORD : Password should be at least 6 characters,Le mot de passe doit comporter au moins 6 caractères, Password should be at least 6 characters
INVALID_EMAIL,Email invailde,Invalid email
EMAIL_EXISTS,L'email existe déjà,Email already exists
username_placeholder_lineedit,Nom d'utilisateur,Username
email_placeholder_lineedit,Email,Email
password_placeholder_lineedit,Mot de passe,Password
confirm_password_placeholder_lineedit,Confirmer le mot de passe,Confirm password
confirm_login_register_btn,Confirmer,Confirm
login_subtitle,Se connecter à un compte,Sign in to an account
register_subtitle,Créer un compte,Create an account
sign_up_btn,S'inscrire,Sign up
login_btn,Se connecter ,Login
not_account,Vous n'avez pas de compte ?,Don't have an account ?
have_account,Vous avez déjà un compte ?,Already have an account ?
activation_key_label,Vous n'avez pas de clé d'activation ?,Don’t have an activation key ?
purchase_key,Acheter,Purchase
key_placeholder_lineedit,Clé d'activation,Activation key
key_error,La clé d'activation n'existe pas ou est manquante,The activation key does not exist or is missing
username_error,Nom d'utilisateur manquant,Username missing
email_error,Email manquant,Missing email
password_error_same_missing,Les mots de passe sont manquants ou ne sont pas identiques,Passwords are missing or not identical
